University/College,Ratings,Reviews,Source 
SRM Easwari,"5.0
/5",the placements from our college is quiet good as we will be attend 250+ companies and each and every one will have 2 or more offers atleast and package varies from 3.5 to 25 lakhs per annum. if not placement our college provides mentorship for highers and students having idea of starting startup too is encouraged,Collegedunia
DTU,"3.6
/5","Faculty to student ratio :- 1:60(almost) As in my first sem i got DC Meena sir who helped every student put a lot of effort, on each student and made sure everyone does good and eventually only 3 out of 84 students failed but sir being good didnt failed them too and handed over some assignments to them and eventually passed them so that noone gets bad grades I hated RS Mishra sir as he failed 56 students out of 84 considering back fees so high what would students do and he is not ready to listen anything, so rude, sent his phd scholar in almost every class never taught us just ruthlessly failes students One mid sem is taken and one end sem is taken, mid sem is average level and end sem is very high level Mis sem is of 20/25 marks and end sem is of 40/50 marks according to subject wether it includes lab work or not",Career360 
NSUT,"4.7
/5",1st year -219000 2nd year-229000 3rd year-239000 4th year-249000 They are no sc/st/obc benefits when it comes to fees they have to pay the institure fees the mess fees and the hostel fees if they avail but the current face for the batch of 2025 was 350000rs,Career360 
DTU,"3.9
/5","course curriculum is standard. they teach ml, programming, maths all the standard required in cse and labs are a little wonky as they dont teach anything in labs. overall it doesnt make you industry ready as such but id say its good.",Career360 
VIT Vellore,"3.2
/5","FFCS(Fully flexible credit system):student can choose their courses and faculty and timetables too Lab oriented teaching and practical learning too internships programs and foreign programs,power system,control systems",Career360 
VIT AP,"3.9
/5",there is a very good relation between student and faculty and for every student there is a mentor assigned to them . we can meet the faculty in the vacant times of them which will be mentioned in front of the faculty cabin . i like mr kiran kumar teached me python and artificial intelligence i liked him because he helped me with gaining practical knowledge i have liked all the teachers who teached me . the exams are based on the number of students registered for the semester and there are two mids and one final semester exam more than 90% students clear exams the exams are medium .,Career360 
VIT AP,"3.8
/5","The technical clubs are useful for use in placement so ,and there many club technical and non technical, and every year there conduct sports in our college with other colleges students,and there provide prize for winning colleges",Career360 
VIT AP,"4.0
/5",Courses are good but not good enough because in this present world situations a course should improvize the person capabilities with an practical knowledge. Hence in vit this fails because it offers good named course but while teaching it the faculty runs off. For suppose a course like theory of computation has to be teached with proper practical knowledge and theory too. Unfortunately it lacks in vit courses and some subjects like english and advanced hindi and german languages and some foreign language and entrepreneurship subjects are minus to the curriculum,Career360 
DTU,"4.2
/5","Dtu has it as it's strong suite. I don't think so I need to explain much here, we have engifest and many other fests. But recently these fests are getting cancelled a lot and the funds are not being released for these fests. The general crowd is also very different now, most of the people would rather enjoy haryanvi and punjabi songs so that is what is many times targeted which I personally don't like. But that is subjective. I would advice you to joint atleast any one tech team in your first year according to your interest, you will learn a lot.",Career360 
DTU,"3.7
/5","Placements at DTU are generally very good, with many reputed companies visiting the campus every year. Students receive opportunities in tech, consulting, and core sectors with competitive salary packages. The strong alumni network and active placement cell also help students secure internships and job opportunities.",Career360 
DTU,"4.3
/5","The overall experience is quite good because I am living near DTU which is like 15-20 min from my home so it very easy for me to come college and hangout and explore college with my friends.Also the society I join is also give me a soft skills like communication, management of a event, corporate basic knowledge etc.",Career360 
VIT Vellore,"3.0
/5","The faculty in the college are well qualified and most have good know how of their core field. The fac to stud ratio is near 1:15 which helps in good class link and easy doubt clear. Most fac are easy to talk to and help stud with proj work, labs and exam prep. Some of the best fac in the dept were Dr Ravi Kumar, Prof Suresh and Dr Meena as they used clear teach ways, real life ex and gave good guide in proj work. They also gave time to stud out of class hours. A few fac were not liked by some stud as their teach style was more theory based and class talk was less clear, which made some topics hard to grasp. The course plan is well set and has both core and lab based sub that help stud gain tech skill. The plan is in line with uni rules and gives base for both jobs and high study. The exam sys has two mid sem tests and one end sem exam for each sem. Marks are split with near 40% from mid tests, assign and lab work and 60% from the end sem exam. The exams are of mid to high level and most stud who keep up with class and lab work are able to pass. A small set of stud may fail in tough sub but they can clear them in sup exams. The course plan is quite apt for eng study and helps build both theory know how and real use skill.",Career360 
VIT AP,"4.6
/5",the fatulty to student ratio is one faculty has students of approx 70 in their calass and they are very interactive and student friendly and are everytime willing to help your in your course I liked Dr. Bomma reddy lokesh sir because he is my mentor fro mr 4 years and has helped me a lot by assisting me through everthing and i had some issues in my hostem water and mess timings and i complained to him and he rectified the issues as soon as possible I dislike some faculties because they are not sooo student friendly and doesnt show intrest in helping students,Career360 
Delhi Metropolitan Education Noida,"5.0
/5","the annual cultural fest is Aloha and it requires a lot of work put in by students. Aside from this, the media department has its own annual production that is a media convention cum festival called Vritika, and it is in the 9th edition this year. the library provides amazing resources for all students related to their course work. all books and reference material can be found in the library. there are a lot of student run social clubs and cells, and they provide with opportunities to learn extra skill as well",Career360 
VIT Vellore,"4.2
/5","This course has main courses as Computer vision DSA DATABASE JAVA,python, all web languages Machine learning Deep learning Natural learning processing Cybersecurity Cloud Computing Data mining Operating Systems Are some courses that can help you to build you career with more skills",Career360 
VIT AP,"4.9
/5","Every one in the college have their mentors and they will guide us .we have course registration to choose the subjects and faculty to teach.they were available in their cabins to clarify our doubts and we have 3 exams cat 1,cat 2 and fat over all we need 40 marks to pass in final exams for 100 marks",Career360 
NSUT,"3.6
/5","You will get some opportunities in the 3rd year for internship but it is relatively hard to get an internship in 3rd year , in the final year placements max companies come for intern + ppo and intern + fte so there is max chance that you will get an internship before your degree I got an internship at tech swarm industry as a full stack developer and the founder was nsut alumini",Career360 
VIT Bhopal,"2.7
/5","from the 6 or 7 semester the student become eligible for campus placement.Companies like dell,amazon,zomato and mass recruiters like tcs and conginizant also come . this year the highest package was 70 lpa and 8 lpa is the average package offered 1200 across offfers are made 60 percent of students are placed generally sde role is offered my plan is to get a decent job",Career360 
VIT AP,"4.2
/5",The curriculum is very well organized. It contains the theory and lab components such that the student can gain knowledge in both and get practical experience. The improvement I suggest is the professors should concentrate more on explaining instead of reading PPTs,Career360 
DTU,"4.1
/5",faculty members are highly skilled but most of them can't able to teach properly or able to convey their knowledge. course is designed based upon market requirments but not that much updated. exam are divided into 2 parts mid term and end term in lab based subject students have to score 21/60 overall to pass without lab based 27/75,Career360 
NIT Kurukshetra,"3.7
/5","The faculty here at NIT Kurukshetra are very supportive and understanding. The course is divided into 8 semesters with on average 5-6 courses per semester. The exam includes two midsems and one end sem. The two midsems hold a weightage of 30 marks(15 marks each) and end sem of 50 marks with 20 marks lying in the teachers hand of attendance and class performance. Also, for the Practical subjects weighted marks are calculated with 1/4 marks from practicals and 3/4 from theory.",Career360 
Meerut International Institute of Technology,"0.5
/5","I have given uptu entrance examination in which i had scored 91 percentile. I have choosen this college because it offers degree of MBA without going to the college, also less fee, helpfull for those who can not afford MBA from reputed colleges.",Collegedunia
Bhabha Institute of Technology Kanpur,"0.5
/5","I had elected Information technology, and literally the course curriculum in uttar pradesh technical university is very poor. All private institutes affiliated to UPTU focus on maintaining results only instead of providing better learning environment. Being into information technology students usually think that there will be technical courses(Coding practice on different technology).",Collegedunia
SD College of Management Studies Muzaffarnagar,"0.5
/5",Direct admission on management seat i have filled the admission form of the college and make registration first the administration was good in behavior at the time of admission but after taking admission they changes very quickly after submitting the registration fee they make list of the selected candidates according to availability of seats after that shortlisted candidates were called for taking admission.,Collegedunia
PSN College of Engineering and Technology (Autonomous) Tirunelveli,"0.5
/5","No they do not provide placement at all, we need to search it on our own after we got selected at that time they will ask our offer letter. So that they can submit it to their file ,they not even help for placement ,they will get the fees ,they doesn't care about the future of the students ,so after that we need to try on our own.",Collegedunia
Alamuri Ratnamala Institute of Engineering and Technology Thane,"0.5
/5","Aruna Sonawane(Exam head) cancelled our lectures for not paying venture capital. They charge 1000rs for giving hallticket.6)for Re-exam(KT) they charge 1000 rs per subject. They have decided to give DROP to some students(to permanatly fail). They charge 500rs after failing in internal exam,100rs for late assignment submission.""Aruna Sonawane"" tells us to do settlement with her after failing in internel exam,no other college does this. They have failed many students of A division for 1 mark. If 30 is passing they give us 29. After displaying marks of senior students on gadget they changed marks 3 times in one hour. No photocopy of answer sheet is given if we ask.rechecking requires 1000rs. They told us exam will be held only on saturday and sunday. But they kept 2 papers on one day .9 papers continuously for 5 days at ASANGAON. Lectures are held at NKT college in thane and exam is at ASANGAON.",Collegedunia
Hindu College of Engineering Sonepat,"0.5
/5","No placement,bad infrastructure,water quality poor,they only theory knowledge. They don't waste a single second to take money from students. I suggest take admission to that college where there is a placement. Because we do b.tech for job.",Collegedunia
St. Mira's College for Girls Pune,"0.5
/5",Best college clean and qualified teachers I love the college organised. Nice extra activities. Good for science as well as for other streams too the best thing sleeveless is not allowed and 1 more that non veg is also not allowed Missions organised. We can meet our beloved dadand vaswani Sanctuary conducted. Which refreshes our mind. 15 mins rest Good food in canteen Pt ground also large enough. 2 times a week Pt lecture is there that's it I want to tell. In short the college is best I suggest everybody should go there.,Collegedunia
PSN College of Engineering and Technology (Autonomous) Tirunelveli,"0.5
/5","Waste College if i put more than zero marks for Academics, Scholorships, Infrastructure, Accommodation & Food, Placement, Social Life then I am lying. This is for your kind information and for the future of the new plus two and degree pass outs pass outs, this is the worst college in tirunelveli, unfortunately i was forced to study here, the management authorities say that u will have a fees deduction when u join there, but the exact opposite is what happens when u join there. They have opened their consulting offices in trivandrum,kottayam, ernakulam and so on .",Collegedunia
Shoolini University Solan,"0.5
/5",Their faculty does not have any idea of teaching and guiding the research students. Their teacher behavior is so pathetic and their education standard are ok but they dont have the idea to implement the curriculum so overall no satisfaction from their teachers school teachers are far better than shoolini university staff.,Collegedunia
Viva Institute of Technology Thane,"0.5
/5",There is inexperience faculty available in this college such a ridiculous college. I'm embarrassed lot after studying in this college . I never see like that college in my whole history life . Such a bad college I ever seen in my life. Plzzz don't get admission in this college coz it will ruin it future life,Collegedunia
PSIT Kanpur,"0.5
/5","I took information technology,so for first year course for every branch would be same,so students of all branches would learn the same things,and after that from 2nd year your core subjects starts and I found my core subjects really easy like data structures,c java structure was good.",Collegedunia
Karunya University,"0.5
/5","They have alumini connect. An online platform but no cares that much. It's just for a name sake. Seniors of mine are in good position, some are struggling to get a job. There are many who are not satisfied with their current jobs. Inorder to sustain , they got up in low income opportunities",Collegedunia
Baba MastNath University Rohtak,"0.5
/5",There is no alumni network in the college. Also no communication is there between senior students and junior ones. A gap is always maintained between them so that they can help each other in any way. Juniors are advised to maintain a distance from the senior students,Collegedunia
IDOL Mumbai University,"0.5
/5",Online procedures create an account over the portal and then fill up the basic details of you and your academics throughout till the graduation and the submit it. Select the required course and then select the subjects if options available,Collegedunia
Sir C R Reddy College of Engineering Eluru,"0.5
/5","I never seen in my life this much of worest college,please don not suggest for any other students and other people.because in this college they spoils students life,they torcfhers the students and parents.i didn't get any good scholarship or loan facility offered by this college,they donn't provide anything,even certificate papers also just like tissue paper quality,as much as possible the management will collect money from students.",Collegedunia
SRM University Chennai,"0.5
/5",Course provided here is bad and not up to market. They gives burden to stundents with 7 8 subjects in one semester. And even exam structure is so bad that one person ends up giving around 50 exam in a semester. The heavily depend on internal which results in teachers discrimination.,Collegedunia
Narnarayan Shastri Institute of Technology Ahmedabad,"0.5
/5","College is bad. They cant give you freedom to freely walk in college or come outside of college for home. At any time there is no placement till date, no company the college is to bad and college fee is to high around 57000 which is to high not good.",Collegedunia
SSM College of Engineering Namakkal,"0.5
/5","Campus is good. There is no gender difference among students and faculty. Lab has good feasility, good infrastructure. No bad behaviours will happen there.",Collegedunia
IITT College of Engineering Sirmaur,"0.5
/5","If you dont love yourself and your money, please come to this college for an adventerous and bad b.tech life. Very bad, classes do not have proper seating arrangements, all labs are malfunctioning, very low qualified and skilled teachers.",Collegedunia
GIET Gunupur,"0.5
/5","When i have visited first time in the college and take my first class, i was shocked because of education of my life takes turn and i was surprised with education system.",Collegedunia
"Guru Jambheshwar University of Science and Technology, Hisar",1.0/5,Limited company hire students form here there is not too much opportunity to get good placement but here some departments have a good placement but overall placement is very poor in term of the tech placement it is not good. give too much re-appears and some teacher was give there full efforts but mostly teachers have a lack of knowledge and also there behaviour is not good they overall instead of the some teachers mostly was not good,Career360 
"JC Bose University of Science and Technology, YMCA, Faridabad",1.0/5,"Placement opportunities are weak. Very few companies visit the campus and the salary packages offered are usually low. The placement support provided by the college is also not very effective.The placements are not upto the mark and not even rarely anyone gets a job. The academic experience is disappointing. The teaching style is mostly theoretical and not very engaging. The syllabus does not always match current industry needs, so students often have to depend on self-study to learn useful skills.",Career360 
"JC Bose University of Science and Technology, YMCA, Faridabad",1.0/5,"Placements are one of the weakest aspects of the college. Very few reputed companies visit the campus and most offers come with low salary packages. The placement support and training provided by the college is minimal, leaving students to prepare on their own. The academic quality is disappointing. The curriculum feels outdated and does not fully match current industry requirements. Some faculty members are helpful, but overall teaching methods are mostly theoretical with very little practical exposure. Students often have to rely on self-study or external resources to properly understand subjects.",Career360 
"JC Bose University of Science and Technology, YMCA, Faridabad",1.0/5,Placement opportunities are very limited. Only a few companies visit the campus and most of them offer low salary packages. Many students struggle to find good job opportunities through campus placements. The academic quality is below expectations. Teaching methods are mostly traditional and not very interactive. The syllabus feels outdated and there is very little focus on practical learning or skill development.,Career360 
"Kashi Institute of Technology, Varanasi",1.3/5,There is no any placement all the banners are fake to attract the admission in our college only manipulate the parents so they force to their children to take admission in the college all they do for admission. Teacher are well in our college give best information regarding to related subject helpful to us make easier to our topic and maintain the discipline in college. Taught new skill work in future life make easier.,Career360 
"Kashi Institute of Technology, Varanasi",1.0/5,There is no placement in our college only few students getting select by their own struggle no any effort of the college to select the students so college in not best for select in the company is totally waste.Very bad teacher of the world in our college only give worse or outdated information nobody teach skill helping in future life or corporate sector only give information to district the students no to motivates,Career360 
"Goel Institute of Technology and Management, Lucknow",1.0/5,"Don't expect anything from them, they are not going to help you in any way for placements, Placement Cell is dead in college, no management, no collaboration with any IT Companies, you'll keep waiting for the opportunity and one day you'll realise that your time is over in college and you have nothing in your hand.  Talking about academics, you will get best of best teachers in 1st year of college but as you progress the quality of teaching as well as interest of teachers in teaching gets reduced, A proper decorum by management is missed. Being an Engineering student you'll have to work hard here.",Career360 
"School of Research and Technology People's University, Bhopal",1.3/5,The training qnd placement department is really poor and needs lots of improvement students are not getting opportunities Because they're not provided with the essentials training and the practical exposure which play the key factor in getting placement. People's University offers many courses but I will suggest more improvement is needed and management is really slow in working progress. They also provide industry experience but for the attendance....,Career360 
"Kashi Institute of Technology, Varanasi",1.0/5,"Placement in not well in our college only show one student placement in many company not all students get select in company but also they said "" We have hundred percent placement"" They give wrong information.Very worse teacher in our college they did teach properly to our lesson and course unit . Does not explain well about the chapter. Doesn't give beat facility to study many time we suffer from huge noise pollution.",Career360 
"Mount Carmel College, Bangalore",1.0/5,"The teacher just come and read off the laptop not all of them but there is this Ashwin sir who teaches for name sake, he doesn’t know how to teach, he calls us illiterate, he just judges us telling bad about miles office to us bad about mcc also degrades India and Indians and I don’t appreciate it at all. I don’t know we are in first year but there was session conducted telling that we will be able to place placement cell, but that doesn’t turned out to be useless. They told us that we will be getting high placements and stipends, but it is all useless of no use.",Career360 
"Jiwaji University, Gwalior",1.0/5,"Although all the exams are taken care of on time with 3 internal exams and 1 external exam still they need to keep up with the ongoing scale of other high class universities. The teachers over here are good..   Absolutely no placements provided by the college, nor any help considered by the university itself. I know it is difficult for universities to provide quality internships and placements oppurtunity but atleast they can try.",Career360 
"SAM Global University, Bhopal",1.3/5,Some teachers are good and some are bad in college. Academics are lazy in this college teacher are behaving rudely and some teachers are good in nature and studying good book are not mandatory in the college.  The Placement and training cell are not are good in my college campus. I will recommend personally that you can try in another colleges in good compus I am suggesting more improvement and advancement in best year.,Career360 
"Modern Girls College of Professional Studies, Lucknow",1.0/5,"Quality of Placement is very poor. 5 or 6 percent of students are placed . Highest salary package offered 12 to 15 k. College was not supportive . They invite maximum fraud companies and local companies . I was done my bcom , Teacher is good. They provide proper note . Academic program are challenging and well structured .Professor are good and knowledgeable . Dean behaviour is very cheap . He is not behaving properly after addmission .",Career360 
"PSIT-Pranveer Singh Institute of Technology, Kanpur",1.3/5,"Very worst placement ever since 2023 they are declining in the placement every year, I am in final year of my btech 2026 batch and only two mass recruiter came, rest nothing. Total students graduating in 2026 are approx 2000 and till now only 400 students are placed. Worst placement ever. I am studying Btech in CSE , worst quality of teaching and academics Curriculum is not upto the mark they just used to teach whatever they want worst curriculum they follow which does not align with the industry.",Career360 
"Jiwaji University, Gwalior",1.3/5,"teachers are good in nature but they don't have basic knowledge about their topics subjects how they teach students if they don't have their concept clear in their mind soo academics also are the worst part of this college.  placement , what is placement for this department placement is like joke for them because they even do not provide a basic internship to students in this college master degree also do not have any placement even this college did not have their own placement cell .",Career360 
"Jiwaji University, Gwalior",1.0/5,very bad experience teachers have zero interest in students and their studies they just want their free period and monthly salary they are just rude and zero percent supportive all though seniors are very helpful in our studies.  no companies came in the campus because they did not provide any kind of placements or opportunities to grow in your life they just doing formalities towards students there is improvement needed on a big scale,Career360 
"Sophia Girls College, Ajmer",1.0/5,"Only few people are selected from campus... Okayish placement... just okayish package nothing so fascinating or exciting... It's Just for name sake, placement ratio is not so satisfying... Don't solely rely on college So so, not so good not so bad. Few teachers are interested in teaching but many aren't... No one is bothered about what you do, if you do something fantastic they just label their college name on you.",Career360 
Shaheed Bhagat Singh College of Pharmacy Amritsar,"0.5
/5",B pharmacy course was belong to the degree in this course background medical is compulsory. In this college was not good teacher for Higher study and not technical staff is there,Collegedunia
HCST,"0.5
/5","Courses are good but Curriculum is outdated. In 2014, we were studying about hydraulic brakes in the era of disc brakes. Exam structure is very bad, there are 30-30 marks two sessional exams and 10 marks for attendence and 10 marks for Assignment. 50 marks mentioned before are internal and 50 marks external exam conducted by UPTU.",Collegedunia
Alamuri Ratnamala Institute of Engineering and Technology Thane,"0.5
/5",All are coming and going in 6 month one year not permanent staff and also don't have much knowledge as well as explaining and delivering that knowledge didn't have proper knowledge they are also recently graduate but and it is and all types of but they can't able to deliver proper knowledge to the student that's why,Collegedunia
St Michael College of Engineering and Technology Sivaganga,"0.5
/5","As a past pupil from that college I only have bad remarks because we face all the worst experience throughout the date when we joined till the date we passed out from there. I never ever recommend this college to any of my friends, relatives, neighbors etc also not even to my enemies. The college management's attitude was so rude enough to both students and parents.",Collegedunia
SDBC,"0.5
/5","No interview process there, just marks from MPPET gets considered. Even though a very less % secured student will also gets admission there.it's just same as all RGPV affiliated college's.",Collegedunia
Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College Chennai,"0.5
/5",What is the use of conducting alumni is the student is not having a sweet memory in the college. Even if they conduct not even one of the classmates or friends will be available to meet. Since it is located too far also they don't allow mobile phone. Even if found they break it with a hammer.,Collegedunia
Arignar Anna Institute of Science and Technology Chennai,"0.5
/5",There is no events in that college its difficult to provide the data How the worst management can contact events. They are money make party and they are not ready to spent money in case of events need to contact they will collect money from college students each Rs. 3000 to Rs.5000 if the students will not able to provide the money simply they will penalize during semesters exams.,Collegedunia
MGMCET Navi Mumbai,"0.5
/5","Very bad, No manners to talk or behave very unprofessional behaviour. Doesn't look like educated professor's more like illiterate people, They talk like they have come from slums Half of the staff doesn't even look proper educated No teaching skills no teaching manne, Even watchmen's have better talking sense then them.",Collegedunia
Universal College of Engineering and Research Sasewadi,"0.5
/5","I Scored 73% in third year diploma and then i wanted to do engineering in the same branch as i had interest in electronics since i was a child. I didn't choose this college, in fact it was my misfortune that the person at the Gov ARC center filled a wrong college code that was not in my preference and i was admitted to this stupid college.",Collegedunia
CCET,"0.5
/5","These type ofquestions don't exist in india. Government allotted approximately 10000$ every year for sports , but u don't believe that , I haven't seen any type of ball (volleyball,football, cricket ball, or any other ball,) which is provided by sports staff. I want to make clear that our college don't have any sports department and if it existed on papers we never knew it.",Collegedunia
JP Institute of Engineering and Technology Meerut,"0.5
/5","No events/ no celebration no excitement nothing is happening in this college people are sitting only to earn money through fraudulently, if we are going to college we need to ensure we should have 5000rs in our pockets because college faculty can ask money any time for any reason No classes/no proper faculty/ no labs/ no college infrastructure/ faculty are not groomed and don't have good knowledge of course if the teachers are not trained how student can be good student and after completing course how they can be good teachers It was my lifetime worst experience in this college.",Collegedunia
Park College of Engineering and Technology Coimbatore,"0.5
/5",I would say that the placements are really pathetic because of the placement coordinator and Ill suited placement advisors. My college didn't provide any internship and also I was not aware of the most of the opportunities because even the professors don't know about it. Overall experience was okay but there was no stipend and the fee is really high for that standard.,Collegedunia
Narasaraopeta Engineering College,"0.5
/5","Faculty is very funny. I get laugh when i think about the faculty, most of them are my seniors, who joined as a faculty member if they don't get any s/w job. The most funniest part is when management publishes an advertisement they will count the one who",Collegedunia
Nimra Institute of Science and Technology Krishna,"0.5
/5",There is nothing to make highlight the college never wants to make educate there student there were always interested in making money money money instead of college I would recommend them to go in construction field which ll make them no 1.the most irresp,Collegedunia
KAHE,"0.5
/5",Simply waste not usefull for any one. Copy sylabus of anna university this is copied syllabus of some other university. this university not having any team to frame this syllabus. Research are not happen during my academic times. Because this college having no faculty doing research. If some one does they give money and ask that person to join this college and conducting some function ten forget about all,Collegedunia
Er Perumal Manimekalai College of Engineering Hosur,"0.5
/5",0 placed the college management cheated each and each and every student in the college .,Collegedunia
Shivajirao S Jondhale College of Engineering Thane,"0.5
/5",3 students got placed with a monthly salary of 12k ctc which is too bad for and engineering grad normally they should get a start of 20k salary.,Collegedunia
IIIT Allahabad,"0.5
/5","Campus life is very good. Student experience all indian culture and knowledge because institure represents student from all over india facilities of labs , sports and extra curriculum activities. Sex ratio differ from batch to batch but sex ratio maintain according to government of india guidelines.",Collegedunia
"Faculty of Law, Delhi University","0.5
/5",There are no internship even there are gives the marks in exam so small 90% students are fail in any subject also .,Collegedunia
SRMCEM,"0.5
/5","Campus selections were fake at first I got through an interview and I was told by the company to contact after MBA final exams are over. It was an IT company but when I started mailing them they refused for any such selection similar instances happened with other batch mates they also brought BPO's for interview and again I got selected but till then I was not aware that its a BPO when I went to their place there was a coaching class going on where spoken American and British accent was being taught, Then I got to know that they were not even a BPO but an intermediary who were training people to go and give interview in Call centres. Once selected they had a commission fixed with Company.",Collegedunia
VIT Vellore,"5.0
/5",The college has some of the best faculty in the country who are experts in their area of teaching and regular feedback is being taken from students about the faculties where a student can anonymously give his/her feedback about faculty. So every process is very transparent and the VIT has an FFCS system where a student has the flexibility to choose the faculty and courses.,Collegedunia
Sri Subash Arts and Science College Pollachi,"5.0
/5","Actually the fees are based on semester fees the fee structure is very lees in class among the other colleges located nearby, they charge 5000 per semester meanwhile other college charges 15000 per semester,for me completing course will take just 20000, if i would have joined in other colleges it might take more than a lakh.",Collegedunia
LNCT Bhopal,"5.0
/5",LNCTs interactive academic model is a milestone for the career perspective and it will help others also to find their wanted destinations. Basically LNCT group is much known in Madhya Pradesh (Bhopal). Bhopal itself is a very good city. LNCT is like sitting in the lap. Bhopal also known as city of Lakes. LNCT is very near to the lake. LNCT Bhopal campus is a historic campus of Bhopal which dates back to 1994.,Collegedunia
GITAM School of Business Hyderabad,"5.0
/5",There are no complaints regarding the faculty of the college as such but the teaching could be more innovative. The qualification cannot decide a faculty's teaching however our faculty is well qualified and don't have anyquery regarding it. They even are interested while teaching their subject as we can notice it when they are explaining it with the help of examples.,Collegedunia
SS Jain Subodh PG College Jaipur,"5.0
/5",Hey my self pamit I graduated from ss jain subodh pg college jaipur rajasthan i likes this college very much as I studied here for 3 years i think this is 1 college in jaipur infrastructure and education quality is fantastic here you can easily get admission here.,Collegedunia
Anna University Chennai,"5.0
/5","When I leave from the college I got 4 placement call letter from company. After in my soul Feeling happy and give thank to God for giving the very high levelled job. It Is my great boon in my life. In my joined company all are congrats for my cgpa, coaching , training, working method this are for my Dean ,Registrar, HOD,college staffs ,etc.",Collegedunia
Vedica Institute of Technology Bhopal,"5.0
/5",All faculty have an good knowledge in their field.all are engineers all faculties are helpful whenever you will get the problem you can go there and solve your problem there is a too many mind games also played by the faculties. The home works as well as assignments practicals all things done gratefully.,Collegedunia
MIT Manipal,"5.0
/5",I appeared for a exam conducted by this institute after filling a form for it . Then the results came and merit list was displayed online those who cleared were called for further orientation process in college. There on the basis of your rank you will be alloted different branches for example for mechanical electronics and communication and computer science there was a huge demand and it got filled up very soon.,Collegedunia
VIT Vellore,"5.0
/5","Financial Assistance will be awarded to the eligible students subject to the following conditions. Annual Income of the parent shall not exceed Rs.1,00,000/-. They should not have any standing arrear in Semester Exams. They should not be recipients of any other scholarship. Attendance should be more than 75% in each subject in the fall semester. They should not have involved in any disciplinary action etc.",Collegedunia
SGVU,"5.0
/5","College is good and faculties are very helpful, helped us to clarify our doubts in a proper manner. Disciplined atmosphere which was very annoying actually during our time in college. But that is actually helping us now helped us to gain knowledge via paid internships in various organizations, which was helpful for us in understanding the subjects in our 3rd year and hence helpful for us in our placements as well case studies given to us in various streams were helpful to understand the practical scenarios in corporate.",Collegedunia
Sri Krishna Arts and Science College Coimbatore,"5.0
/5","Skasc provides vast placements. Every year the break their own records in placements. This time they made a new record of 219 out of 239 placed in Infosys. In skasc various famous it companies like wipro, cts, TCS, techM, Amazon, Oracle and etc. The placement for CDF departments are also available. Various boutiques offers placements and high rated hotels are offering placements for Catering dept.",Collegedunia
SPSU,"5.0
/5","Its a very good college here we get overall development of our personality also students of the college are very talented and friendly , they come from almost every part of the country. Apart from theory a huge time is invested on hands on learning so you can learn industrial applications of the subject.",Collegedunia
"Industrial Design Centre, IIT Mumbai","5.0
/5","The two years M.Des course is offered in Industrial Design, Communication Design, Animation & Film Making, Interaction and Vehicle & Mobility Design. First year involves smaller courses and projects, while the second involves 3 projects (P1- Internship, P2-III Sem and P3-IV Sem). All of the learning at IDC is presented to the public at the Annual Design Degree Shows.",Collegedunia
Mumbai Film Academy,"5.0
/5","Yes Mumbai Film Academy provides Scholarship & loan facility to deserving students.On submission of all the required documents, along with the proof of admission, an Invitation letter from Mumbai Film Academy will be issued to the International student for Visa Application at the Indian embassy Immigration office located in their country. All the necessary relevant documents will have to be submitted in Original.",Collegedunia
UCMS Delhi,"5.0
/5","All the faculty members of UCMS hold excellence in their respective fields. All of them are post graduated diplomats having various laurels in their name. They are very kind, and are always keen to help. Before starting with any new topic, they first brief us about its clinical implications so that we can realise it's importance while practice.",Collegedunia
VIT Vellore,"5.0
/5","Yes, VIT provides scholarships and foreign scholarships as well depending on the interest of the student, for a student securing 500 VIT provides a reduction in fee structure accordingly. And with the call letter or say provision letter u can even avail the loan facility from any bank.",Collegedunia
PDEU,"5.0
/5","The placements are the best meant to ask it for undergraduate studies. Petroleum is definitely the best poised for placements, as it is the brand name carrying, older branch. But they suffered this time. The placements were below average, but good students fetched good packages as usual. Coming to SOT, Civil and Chemical engineering had good placements, about 50-60% of the eligible students were placed via on-campus placements.",Collegedunia
Aravali College of Engineering and Management Faridabad,"5.0
/5","Secondly infrastructure is suitable for every students because in this is a full of greenary environment and for a sport lovers students ARAVALI having a big nd perfect playground. About the facilities is awesome including water, electricity , transport, library, playground , cafeteria etc.",Collegedunia
Vedica Institute of Technology Bhopal,"5.0
/5","80% of the student.Firstly the placement is very gud. Then second salary package is up to 7-9 lakhs. Normally 7.5 cgpa nd the most important think is what is ur knowledge for job its doesnt matter what was ur percentage here its found a knowledgeable person. The company which visit is Wipro, bpo, indian army, so many company to come and take to placement and the most company is to come for it cs nd ec branch jobs are very mor",Collegedunia
Nagarjuna College of Engineering and Technology Bangalore,"5.0
/5",The college is good it provide placemment to good company its campus is great when we are studing in college its a great fun all teachers are great they treat every student equally its very joyfull time of my life.,Collegedunia
Fergusson College Pune,"5.0
/5","100 % job placement. The paint Manufacturing / application industry offers a starting job of Supervisor or Chemist or a Marketing Executive and average salary packages between 1.5 lakh and 2.5 lakhs per annum. Salary package is different across the industry. Over a period of time, the person can progress to senior level and salary increases accordingly with respect to the position.",Career360 
