University/College,Ratings,Reviews,Source ,clean_review,Fake_Prediction,sentiment_score,Sentiment
KIIT,3.8,"College faculties are really supportive. If you are eager to learn something the help . 1:50 is the faculty to students ratio . However teachers are friendly with every students . We can directly visit their cabin for doubt during the working hours . Though all faculty members are good , but the one I liked the most is Amulya Ratna swain sir . He is very professional and teaches in a manner that if a student is listening his word his concept will get cleared. He is very enthusiastic and friendly with everyone with zero ego. In my opinion he is the best faculty of our college. There are two exam in a semester one is midsem and other is endsem. Midsem is of 20 marks and endsem of 50 marks . Rest 30 marks is internals that teacher gives based on class performance. Semester exams are not so hard and you can easily score 9 cgpa if you attend class regularly. Course is relevant.",Collegedunia,college faculties really supportive eager learn something help faculty students ratio however teachers friendly every students directly visit cabin doubt working hours though faculty members good one liked amulya ratna swain sir professional teaches manner student listening word concept get cleared enthusiastic friendly everyone zero ego opinion best faculty college two exam semester one midsem endsem midsem marks endsem marks rest marks internals teacher gives based class performance semester exams hard easily score cgpa attend class regularly course relevant,Genuine,0.9846,Positive
Sathyabama Institute of Science and Technology,4.2,Curriculums are good (it depends on depts) and they are updated and new electives/ cbcs are added thus updating curriculum and there are subject with heavy lab which don't have end sem instead lab and only internal which is not what other colleges have. they also have open book test for subjcts like programming languge so students can focus on learning the language instaed of memorizing. however as we are batch of a new regulation we are not aware of kind of questions that would come. however forthcoming batches won't be having this issue. unlike other collges only 2 internal exams and 1 semester is conducted. both the internal is given equal weightage ( having unit 1&2 and 3&4 for each exams) and retest is also conducted for internal however even if one exam not written they need to write all 4 unit incase of health issues etc. 50% internal and 50% external. so if having good internal can easlity score well in total. However if one fails to secure internal then passing the subject becomes very hard. Core subjects however prepares well for real-world. however i feel curriculums should be slightly revised so that students learn everyhting systematically instead of memorizing. Sometimes academic calendars are not given prior,Collegedunia,curriculums good depends depts updated new electives cbcs added thus updating curriculum subject heavy lab dont end sem instead lab internal colleges also open book test subjcts like programming languge students focus learning language instaed memorizing however batch new regulation aware kind questions would come however forthcoming batches wont issue unlike collges internal exams semester conducted internal given equal weightage unit exams retest also conducted internal however even one exam written need write unit incase health issues etc internal external good internal easlity score well total however one fails secure internal passing subject becomes hard core subjects however prepares well realworld however feel curriculums slightly revised students learn everyhting systematically instead memorizing sometimes academic calendars given prior,Genuine,0.8558,Positive
MNIT Jaipur,4.3,"I am pursuing in Artificial intelligence and data engineering branch.I like many lectures like Vijaya Lakshmi Madam, Priyanka Madam, Dinesh gopalni sir, Kuldeep Singh Sir and many were there.I don't like Amit sir(Environment Subject) because he will be very harsh on students.The faculty to student relationship will be very good,Every lecture interact with students on campus and off campus also iff needed.Mostly all of the lectures have more than 20 years of experience.We have 8 semesters.We will have two exams in a semester.Mod exam will be in second month of semester and end exam will be in 5 th month of the semester.We have relative grading.",Collegedunia,pursuing artificial intelligence data engineering branchi like many lectures like vijaya lakshmi madam priyanka madam dinesh gopalni sir kuldeep singh sir many therei dont like amit sirenvironment subject harsh studentsthe faculty student relationship goodevery lecture interact students campus campus also iff neededmostly lectures years experiencewe semesterswe two exams semestermod exam second month semester end exam th month semesterwe relative grading,Genuine,0.7512,Positive
IIT BHU,3.6,"I am currently paying 2.4 lakh per year . It includes academic , hostel fee and also some other fee like examination fee , festival and many other small fee. Mess fee usually occurs around 16.5k per semester. Since i am above 5 lakh income slab so i have to pay full fee otherwise there are many fee waiver schemes . For students less than 5 lakh and more than 1 lakh they have to pay only 1/3rd of the fee and peeps less than 1 lakh income they dont have to pay academic fee but have to pay mess and some small fee. SC/St students also have same waiver schemes as of <1lakh doesnt matter the income of their household . There are many scholarship schemes like NSP , IIT BHU foundation and a lot more .",Collegedunia,currently paying lakh per year includes academic hostel fee also fee like examination fee festival many small fee mess fee usually occurs around k per semester since lakh income slab pay full fee otherwise many fee waiver schemes students less lakh lakh pay rd fee peeps less lakh income dont pay academic fee pay mess small fee scst students also waiver schemes lakh doesnt matter income household many scholarship schemes like nsp iit bhu foundation lot,Genuine,-0.2505,Negative
NIT Patna,4.0,"The campus placements are moderately good in severe times of recession like this, though branches like civil , EE, Mechanical get placed very good but cse is facing some recession, still they are placed above average compared to other colleges The students become eligible for internships from their 5th semester i.e their 3rd year and for campus placements from 3rd and 4th year in 2024 one of the final year students from cse grabbed 2cr at google and the median and average placement package is decent here 90-95% students get placed in decent companies My plans are to explore software development with interets in Machine Learning and Artificial Intelligence",Collegedunia,campus placements moderately good severe times recession like though branches like civil ee mechanical get placed good cse facing recession still placed average compared colleges students become eligible internships th semester ie rd year campus placements rd th year one final year students cse grabbed cr google median average placement package decent students get placed decent companies plans explore software development interets machine learning artificial intelligence,Genuine,0.4854,Positive
Delhi University,4.0,"The faculty to student ratio is around 1:25. The faculty are nice and very helpful. We can approach them at any time for help. They also guide us for different programs and internships going around. The best faculties are Ms. Shikha Verma, Mrs. Sakshi Sharma, Ms. Dikscha Sapra. There are only end semester exams which are not too difficult if studied well.",Collegedunia,faculty student ratio around faculty nice helpful approach time help also guide us different programs internships going around best faculties ms shikha verma mrs sakshi sharma ms dikscha sapra end semester exams difficult studied well,Genuine,0.9433,Positive
SRM University Chennai,5.0,campus life at Srm institute of science and technology is active and engaging with many opportunities for students.the university coducts the fest and such as Milan and Aarush ehich are usually held during the academic year and attracts many participants. The library has widels range of books journals and digital resources that support academic learning. Classrooms qre well equipped with the modern technology like projectosrs and smart boards the campus also offers good sport facilities and many student clubs and student organisations where students can participate in cultural and trchnical activities.,Collegedunia,campus life srm institute science technology active engaging many opportunities studentsthe university coducts fest milan aarush ehich usually held academic year attracts many participants library widels range books journals digital resources support academic learning classrooms qre well equipped modern technology like projectosrs smart boards campus also offers good sport facilities many student clubs student organisations students participate cultural trchnical activities,Genuine,0.9652,Positive
Dhanekula Institute of Engineering and Technology Vijayawada,5.0,".Campus placements in our college usually start 6th semester and students become eligible to attend placement drives. .Many reputed companies visit our college such as tata,infosys,wipro,and tcs .This companies offered different packages roles like software developer,analyst,and technical support. .The highest package offered is around 7LPA while the average package is about 3-4 LPA. .nearly 60-70 percent students get placed every year through campus recruitment. After completing my degree,my plan is to secure a good job through campus placements and gain industry experience to build a successful career",Collegedunia,campus placements college usually start th semester students become eligible attend placement drives many reputed companies visit college tatainfosyswiproand tcs companies offered different packages roles like software developeranalystand technical support highest package offered around lpa average package lpa nearly percent students get placed every year campus recruitment completing degreemy plan secure good job campus placements gain industry experience build successful career,Genuine,0.9493,Positive
IIT BHU,3.8,"This college has a lot of clubs catering interest of every type of students starting from cultural to sports to technical clubs . The college also has wonderful fests regarding the same , Kashiyatra, Technex and Spardha are the major ones .",Collegedunia,college lot clubs catering interest every type students starting cultural sports technical clubs college also wonderful fests regarding kashiyatra technex spardha major ones,Genuine,0.7717,Positive
SRM Easwari,5.0,the placements from our college is quiet good as we will be attend 250+ companies and each and every one will have 2 or more offers atleast and package varies from 3.5 to 25 lakhs per annum. if not placement our college provides mentorship for highers and students having idea of starting startup too is encouraged,Collegedunia,placements college quiet good attend companies every one offers atleast package varies lakhs per annum placement college provides mentorship highers students idea starting startup encouraged,Genuine,0.6597,Positive
DTU,3.6,"Faculty to student ratio :- 1:60(almost) As in my first sem i got DC Meena sir who helped every student put a lot of effort, on each student and made sure everyone does good and eventually only 3 out of 84 students failed but sir being good didnt failed them too and handed over some assignments to them and eventually passed them so that noone gets bad grades I hated RS Mishra sir as he failed 56 students out of 84 considering back fees so high what would students do and he is not ready to listen anything, so rude, sent his phd scholar in almost every class never taught us just ruthlessly failes students One mid sem is taken and one end sem is taken, mid sem is average level and end sem is very high level Mis sem is of 20/25 marks and end sem is of 40/50 marks according to subject wether it includes lab work or not",Career360 ,faculty student ratio almost first sem got dc meena sir helped every student put lot effort student made sure everyone good eventually students failed sir good didnt failed handed assignments eventually passed noone gets bad grades hated rs mishra sir failed students considering back fees high would students ready listen anything rude sent phd scholar almost every class never taught us ruthlessly failes students one mid sem taken one end sem taken mid sem average level end sem high level mis sem marks end sem marks according subject wether includes lab work,Genuine,-0.9779,Negative
NSUT,4.7,1st year -219000 2nd year-229000 3rd year-239000 4th year-249000 They are no sc/st/obc benefits when it comes to fees they have to pay the institure fees the mess fees and the hostel fees if they avail but the current face for the batch of 2025 was 350000rs,Career360 ,st year nd year rd year th year scstobc benefits comes fees pay institure fees mess fees hostel fees avail current face batch rs,Genuine,-0.1901,Negative
DTU,3.9,"course curriculum is standard. they teach ml, programming, maths all the standard required in cse and labs are a little wonky as they dont teach anything in labs. overall it doesnt make you industry ready as such but id say its good.",Career360 ,course curriculum standard teach ml programming maths standard required cse labs little wonky dont teach anything labs overall doesnt make industry ready id say good,Genuine,0.6808,Positive
VIT Vellore,3.2,"FFCS(Fully flexible credit system):student can choose their courses and faculty and timetables too Lab oriented teaching and practical learning too internships programs and foreign programs,power system,control systems",Career360 ,ffcsfully flexible credit systemstudent choose courses faculty timetables lab oriented teaching practical learning internships programs foreign programspower systemcontrol systems,Genuine,0.5423,Positive
VIT AP,3.9,there is a very good relation between student and faculty and for every student there is a mentor assigned to them . we can meet the faculty in the vacant times of them which will be mentioned in front of the faculty cabin . i like mr kiran kumar teached me python and artificial intelligence i liked him because he helped me with gaining practical knowledge i have liked all the teachers who teached me . the exams are based on the number of students registered for the semester and there are two mids and one final semester exam more than 90% students clear exams the exams are medium .,Career360 ,good relation student faculty every student mentor assigned meet faculty vacant times mentioned front faculty cabin like mr kiran kumar teached python artificial intelligence liked helped gaining practical knowledge liked teachers teached exams based number students registered semester two mids one final semester exam students clear exams exams medium,Genuine,0.9589,Positive
VIT AP,3.8,"The technical clubs are useful for use in placement so ,and there many club technical and non technical, and every year there conduct sports in our college with other colleges students,and there provide prize for winning colleges",Career360 ,technical clubs useful use placement many club technical non technical every year conduct sports college colleges studentsand provide prize winning colleges,Genuine,0.8625,Positive
VIT AP,4.0,Courses are good but not good enough because in this present world situations a course should improvize the person capabilities with an practical knowledge. Hence in vit this fails because it offers good named course but while teaching it the faculty runs off. For suppose a course like theory of computation has to be teached with proper practical knowledge and theory too. Unfortunately it lacks in vit courses and some subjects like english and advanced hindi and german languages and some foreign language and entrepreneurship subjects are minus to the curriculum,Career360 ,courses good good enough present world situations course improvize person capabilities practical knowledge hence vit fails offers good named course teaching faculty runs suppose course like theory computation teached proper practical knowledge theory unfortunately lacks vit courses subjects like english advanced hindi german languages foreign language entrepreneurship subjects minus curriculum,Genuine,0.88,Positive
DTU,4.2,"Dtu has it as it's strong suite. I don't think so I need to explain much here, we have engifest and many other fests. But recently these fests are getting cancelled a lot and the funds are not being released for these fests. The general crowd is also very different now, most of the people would rather enjoy haryanvi and punjabi songs so that is what is many times targeted which I personally don't like. But that is subjective. I would advice you to joint atleast any one tech team in your first year according to your interest, you will learn a lot.",Career360 ,dtu strong suite dont think need explain much engifest many fests recently fests getting cancelled lot funds released fests general crowd also different people would rather enjoy haryanvi punjabi songs many times targeted personally dont like subjective would advice joint atleast one tech team first year according interest learn lot,Genuine,0.7419,Positive
DTU,3.7,"Placements at DTU are generally very good, with many reputed companies visiting the campus every year. Students receive opportunities in tech, consulting, and core sectors with competitive salary packages. The strong alumni network and active placement cell also help students secure internships and job opportunities.",Career360 ,placements dtu generally good many reputed companies visiting campus every year students receive opportunities tech consulting core sectors competitive salary packages strong alumni network active placement cell also help students secure internships job opportunities,Fake,0.9595,Positive
DTU,4.3,"The overall experience is quite good because I am living near DTU which is like 15-20 min from my home so it very easy for me to come college and hangout and explore college with my friends.Also the society I join is also give me a soft skills like communication, management of a event, corporate basic knowledge etc.",Career360 ,overall experience quite good living near dtu like min home easy come college hangout explore college friendsalso society join also give soft skills like communication management event corporate basic knowledge etc,Genuine,0.9161,Positive
VIT Vellore,3.0,"The faculty in the college are well qualified and most have good know how of their core field. The fac to stud ratio is near 1:15 which helps in good class link and easy doubt clear. Most fac are easy to talk to and help stud with proj work, labs and exam prep. Some of the best fac in the dept were Dr Ravi Kumar, Prof Suresh and Dr Meena as they used clear teach ways, real life ex and gave good guide in proj work. They also gave time to stud out of class hours. A few fac were not liked by some stud as their teach style was more theory based and class talk was less clear, which made some topics hard to grasp. The course plan is well set and has both core and lab based sub that help stud gain tech skill. The plan is in line with uni rules and gives base for both jobs and high study. The exam sys has two mid sem tests and one end sem exam for each sem. Marks are split with near 40% from mid tests, assign and lab work and 60% from the end sem exam. The exams are of mid to high level and most stud who keep up with class and lab work are able to pass. A small set of stud may fail in tough sub but they can clear them in sup exams. The course plan is quite apt for eng study and helps build both theory know how and real use skill.",Career360 ,faculty college well qualified good know core field fac stud ratio near helps good class link easy doubt clear fac easy talk help stud proj work labs exam prep best fac dept dr ravi kumar prof suresh dr meena used clear teach ways real life ex gave good guide proj work also gave time stud class hours fac liked stud teach style theory based class talk less clear made topics hard grasp course plan well set core lab based sub help stud gain tech skill plan line uni rules gives base jobs high study exam sys two mid sem tests one end sem exam sem marks split near mid tests assign lab work end sem exam exams mid high level stud keep class lab work able pass small set stud may fail tough sub clear sup exams course plan quite apt eng study helps build theory know real use skill,Genuine,0.9707,Positive
VIT AP,4.6,the fatulty to student ratio is one faculty has students of approx 70 in their calass and they are very interactive and student friendly and are everytime willing to help your in your course I liked Dr. Bomma reddy lokesh sir because he is my mentor fro mr 4 years and has helped me a lot by assisting me through everthing and i had some issues in my hostem water and mess timings and i complained to him and he rectified the issues as soon as possible I dislike some faculties because they are not sooo student friendly and doesnt show intrest in helping students,Career360 ,fatulty student ratio one faculty students approx calass interactive student friendly everytime willing help course liked dr bomma reddy lokesh sir mentor fro mr years helped lot assisting everthing issues hostem water mess timings complained rectified issues soon possible dislike faculties sooo student friendly doesnt show intrest helping students,Genuine,0.743,Positive
Delhi Metropolitan Education Noida,5.0,"the annual cultural fest is Aloha and it requires a lot of work put in by students. Aside from this, the media department has its own annual production that is a media convention cum festival called Vritika, and it is in the 9th edition this year. the library provides amazing resources for all students related to their course work. all books and reference material can be found in the library. there are a lot of student run social clubs and cells, and they provide with opportunities to learn extra skill as well",Career360 ,annual cultural fest aloha requires lot work put students aside media department annual production media convention cum festival called vritika th edition year library provides amazing resources students related course work books reference material found library lot student run social clubs cells provide opportunities learn extra skill well,Genuine,0.8934,Positive
VIT Vellore,4.2,"This course has main courses as Computer vision DSA DATABASE JAVA,python, all web languages Machine learning Deep learning Natural learning processing Cybersecurity Cloud Computing Data mining Operating Systems Are some courses that can help you to build you career with more skills",Career360 ,course main courses computer vision dsa database javapython web languages machine learning deep learning natural learning processing cybersecurity cloud computing data mining operating systems courses help build career skills,Genuine,0.7351,Positive
VIT AP,4.9,"Every one in the college have their mentors and they will guide us .we have course registration to choose the subjects and faculty to teach.they were available in their cabins to clarify our doubts and we have 3 exams cat 1,cat 2 and fat over all we need 40 marks to pass in final exams for 100 marks",Career360 ,every one college mentors guide us course registration choose subjects faculty teachthey available cabins clarify doubts exams cat cat fat need marks pass final exams marks,Genuine,-0.296,Negative
NSUT,3.6,"You will get some opportunities in the 3rd year for internship but it is relatively hard to get an internship in 3rd year , in the final year placements max companies come for intern + ppo and intern + fte so there is max chance that you will get an internship before your degree I got an internship at tech swarm industry as a full stack developer and the founder was nsut alumini",Career360 ,get opportunities rd year internship relatively hard get internship rd year final year placements max companies come intern ppo intern fte max chance get internship degree got internship tech swarm industry full stack developer founder nsut alumini,Genuine,0.4019,Positive
VIT Bhopal,2.7,"from the 6 or 7 semester the student become eligible for campus placement.Companies like dell,amazon,zomato and mass recruiters like tcs and conginizant also come . this year the highest package was 70 lpa and 8 lpa is the average package offered 1200 across offfers are made 60 percent of students are placed generally sde role is offered my plan is to get a decent job",Career360 ,semester student become eligible campus placementcompanies like dellamazonzomato mass recruiters like tcs conginizant also come year highest package lpa lpa average package offered across offfers made percent students placed generally sde role offered plan get decent job,Genuine,0.6124,Positive
VIT AP,4.2,The curriculum is very well organized. It contains the theory and lab components such that the student can gain knowledge in both and get practical experience. The improvement I suggest is the professors should concentrate more on explaining instead of reading PPTs,Career360 ,curriculum well organized contains theory lab components student gain knowledge get practical experience improvement suggest professors concentrate explaining instead reading ppts,Genuine,0.8313,Positive
DTU,4.1,faculty members are highly skilled but most of them can't able to teach properly or able to convey their knowledge. course is designed based upon market requirments but not that much updated. exam are divided into 2 parts mid term and end term in lab based subject students have to score 21/60 overall to pass without lab based 27/75,Career360 ,faculty members highly skilled cant able teach properly able convey knowledge course designed based upon market requirments much updated exam divided parts mid term end term lab based subject students score overall pass without lab based,Genuine,0.0,Neutral
NIT Kurukshetra,3.7,"The faculty here at NIT Kurukshetra are very supportive and understanding. The course is divided into 8 semesters with on average 5-6 courses per semester. The exam includes two midsems and one end sem. The two midsems hold a weightage of 30 marks(15 marks each) and end sem of 50 marks with 20 marks lying in the teachers hand of attendance and class performance. Also, for the Practical subjects weighted marks are calculated with 1/4 marks from practicals and 3/4 from theory.",Career360 ,faculty nit kurukshetra supportive understanding course divided semesters average courses per semester exam includes two midsems one end sem two midsems hold weightage marks marks end sem marks marks lying teachers hand attendance class performance also practical subjects weighted marks calculated marks practicals theory,Genuine,0.3167,Positive
Meerut International Institute of Technology,0.5,"I have given uptu entrance examination in which i had scored 91 percentile. I have choosen this college because it offers degree of MBA without going to the college, also less fee, helpfull for those who can not afford MBA from reputed colleges.",Collegedunia,given uptu entrance examination scored percentile choosen college offers degree mba without going college also less fee helpfull afford mba reputed colleges,Genuine,0.0,Neutral
Bhabha Institute of Technology Kanpur,0.5,"I had elected Information technology, and literally the course curriculum in uttar pradesh technical university is very poor. All private institutes affiliated to UPTU focus on maintaining results only instead of providing better learning environment. Being into information technology students usually think that there will be technical courses(Coding practice on different technology).",Collegedunia,elected information technology literally course curriculum uttar pradesh technical university poor private institutes affiliated uptu focus maintaining results instead providing better learning environment information technology students usually think technical coursescoding practice different technology,Genuine,-0.1263,Negative
SD College of Management Studies Muzaffarnagar,0.5,Direct admission on management seat i have filled the admission form of the college and make registration first the administration was good in behavior at the time of admission but after taking admission they changes very quickly after submitting the registration fee they make list of the selected candidates according to availability of seats after that shortlisted candidates were called for taking admission.,Collegedunia,direct admission management seat filled admission form college make registration first administration good behavior time admission taking admission changes quickly submitting registration fee make list selected candidates according availability seats shortlisted candidates called taking admission,Genuine,0.2382,Positive
PSN College of Engineering and Technology (Autonomous) Tirunelveli,0.5,"No they do not provide placement at all, we need to search it on our own after we got selected at that time they will ask our offer letter. So that they can submit it to their file ,they not even help for placement ,they will get the fees ,they doesn't care about the future of the students ,so after that we need to try on our own.",Collegedunia,provide placement need search got selected time ask offer letter submit file even help placement get fees doesnt care future students need try,Genuine,-0.7258,Negative
Alamuri Ratnamala Institute of Engineering and Technology Thane,0.5,"Aruna Sonawane(Exam head) cancelled our lectures for not paying venture capital. They charge 1000rs for giving hallticket.6)for Re-exam(KT) they charge 1000 rs per subject. They have decided to give DROP to some students(to permanatly fail). They charge 500rs after failing in internal exam,100rs for late assignment submission.""Aruna Sonawane"" tells us to do settlement with her after failing in internel exam,no other college does this. They have failed many students of A division for 1 mark. If 30 is passing they give us 29. After displaying marks of senior students on gadget they changed marks 3 times in one hour. No photocopy of answer sheet is given if we ask.rechecking requires 1000rs. They told us exam will be held only on saturday and sunday. But they kept 2 papers on one day .9 papers continuously for 5 days at ASANGAON. Lectures are held at NKT college in thane and exam is at ASANGAON.",Collegedunia,aruna sonawaneexam head cancelled lectures paying venture capital charge rs giving hallticketfor reexamkt charge rs per subject decided give drop studentsto permanatly fail charge rs failing internal examrs late assignment submissionaruna sonawane tells us settlement failing internel examno college failed many students division mark passing give us displaying marks senior students gadget changed marks times one hour photocopy answer sheet given askrechecking requires rs told us exam held saturday sunday kept papers one day papers continuously days asangaon lectures held nkt college thane exam asangaon,Genuine,-0.7761,Negative
Hindu College of Engineering Sonepat,0.5,"No placement,bad infrastructure,water quality poor,they only theory knowledge. They don't waste a single second to take money from students. I suggest take admission to that college where there is a placement. Because we do b.tech for job.",Collegedunia,placementbad infrastructurewater quality poorthey theory knowledge dont waste single second take money students suggest take admission college placement btech job,Genuine,0.0341,Neutral
St. Mira's College for Girls Pune,0.5,Best college clean and qualified teachers I love the college organised. Nice extra activities. Good for science as well as for other streams too the best thing sleeveless is not allowed and 1 more that non veg is also not allowed Missions organised. We can meet our beloved dadand vaswani Sanctuary conducted. Which refreshes our mind. 15 mins rest Good food in canteen Pt ground also large enough. 2 times a week Pt lecture is there that's it I want to tell. In short the college is best I suggest everybody should go there.,Collegedunia,best college clean qualified teachers love college organised nice extra activities good science well streams best thing sleeveless allowed non veg also allowed missions organised meet beloved dadand vaswani sanctuary conducted refreshes mind mins rest good food canteen pt ground also large enough times week pt lecture thats want tell short college best suggest everybody go,Genuine,0.987,Positive
PSN College of Engineering and Technology (Autonomous) Tirunelveli,0.5,"Waste College if i put more than zero marks for Academics, Scholorships, Infrastructure, Accommodation & Food, Placement, Social Life then I am lying. This is for your kind information and for the future of the new plus two and degree pass outs pass outs, this is the worst college in tirunelveli, unfortunately i was forced to study here, the management authorities say that u will have a fees deduction when u join there, but the exact opposite is what happens when u join there. They have opened their consulting offices in trivandrum,kottayam, ernakulam and so on .",Collegedunia,waste college put zero marks academics scholorships infrastructure accommodation food placement social life lying kind information future new plus two degree pass outs pass outs worst college tirunelveli unfortunately forced study management authorities say u fees deduction u join exact opposite happens u join opened consulting offices trivandrumkottayam ernakulam,Genuine,-0.4118,Negative
Shoolini University Solan,0.5,Their faculty does not have any idea of teaching and guiding the research students. Their teacher behavior is so pathetic and their education standard are ok but they dont have the idea to implement the curriculum so overall no satisfaction from their teachers school teachers are far better than shoolini university staff.,Collegedunia,faculty idea teaching guiding research students teacher behavior pathetic education standard ok dont idea implement curriculum overall satisfaction teachers school teachers far better shoolini university staff,Genuine,0.5585,Positive
Viva Institute of Technology Thane,0.5,There is inexperience faculty available in this college such a ridiculous college. I'm embarrassed lot after studying in this college . I never see like that college in my whole history life . Such a bad college I ever seen in my life. Plzzz don't get admission in this college coz it will ruin it future life,Collegedunia,inexperience faculty available college ridiculous college im embarrassed lot studying college never see like college whole history life bad college ever seen life plzzz dont get admission college coz ruin future life,Genuine,-0.9247,Negative
PSIT Kanpur,0.5,"I took information technology,so for first year course for every branch would be same,so students of all branches would learn the same things,and after that from 2nd year your core subjects starts and I found my core subjects really easy like data structures,c java structure was good.",Collegedunia,took information technologyso first year course every branch would sameso students branches would learn thingsand nd year core subjects starts found core subjects really easy like data structuresc java structure good,Genuine,0.8347,Positive
Karunya University,0.5,"They have alumini connect. An online platform but no cares that much. It's just for a name sake. Seniors of mine are in good position, some are struggling to get a job. There are many who are not satisfied with their current jobs. Inorder to sustain , they got up in low income opportunities",Collegedunia,alumini connect online platform cares much name sake seniors mine good position struggling get job many satisfied current jobs inorder sustain got low income opportunities,Genuine,0.0263,Neutral
Baba MastNath University Rohtak,0.5,There is no alumni network in the college. Also no communication is there between senior students and junior ones. A gap is always maintained between them so that they can help each other in any way. Juniors are advised to maintain a distance from the senior students,Collegedunia,alumni network college also communication senior students junior ones gap always maintained help way juniors advised maintain distance senior students,Fake,-0.1779,Negative
IDOL Mumbai University,0.5,Online procedures create an account over the portal and then fill up the basic details of you and your academics throughout till the graduation and the submit it. Select the required course and then select the subjects if options available,Collegedunia,online procedures create account portal fill basic details academics throughout till graduation submit select required course select subjects options available,Genuine,0.2732,Positive
Sir C R Reddy College of Engineering Eluru,0.5,"I never seen in my life this much of worest college,please don not suggest for any other students and other people.because in this college they spoils students life,they torcfhers the students and parents.i didn't get any good scholarship or loan facility offered by this college,they donn't provide anything,even certificate papers also just like tissue paper quality,as much as possible the management will collect money from students.",Collegedunia,never seen life much worest collegeplease suggest students peoplebecause college spoils students lifethey torcfhers students parentsi didnt get good scholarship loan facility offered collegethey donnt provide anythingeven certificate papers also like tissue paper qualityas much possible management collect money students,Fake,0.0243,Neutral
SRM University Chennai,0.5,Course provided here is bad and not up to market. They gives burden to stundents with 7 8 subjects in one semester. And even exam structure is so bad that one person ends up giving around 50 exam in a semester. The heavily depend on internal which results in teachers discrimination.,Collegedunia,course provided bad market gives burden stundents subjects one semester even exam structure bad one person ends giving around exam semester heavily depend internal results teachers discrimination,Genuine,-0.8176,Negative
Narnarayan Shastri Institute of Technology Ahmedabad,0.5,"College is bad. They cant give you freedom to freely walk in college or come outside of college for home. At any time there is no placement till date, no company the college is to bad and college fee is to high around 57000 which is to high not good.",Collegedunia,college bad cant give freedom freely walk college come outside college home time placement till date company college bad college fee high around high good,Genuine,-0.9228,Negative
SSM College of Engineering Namakkal,0.5,"Campus is good. There is no gender difference among students and faculty. Lab has good feasility, good infrastructure. No bad behaviours will happen there.",Collegedunia,campus good gender difference among students faculty lab good feasility good infrastructure bad behaviours happen,Fake,0.2023,Positive
IITT College of Engineering Sirmaur,0.5,"If you dont love yourself and your money, please come to this college for an adventerous and bad b.tech life. Very bad, classes do not have proper seating arrangements, all labs are malfunctioning, very low qualified and skilled teachers.",Collegedunia,dont love money please come college adventerous bad btech life bad classes proper seating arrangements labs malfunctioning low qualified skilled teachers,Genuine,-0.8875,Negative
GIET Gunupur,0.5,"When i have visited first time in the college and take my first class, i was shocked because of education of my life takes turn and i was surprised with education system.",Collegedunia,visited first time college take first class shocked education life takes turn surprised education system,Genuine,-0.1027,Negative
"Guru Jambheshwar University of Science and Technology, Hisar",1.0,Limited company hire students form here there is not too much opportunity to get good placement but here some departments have a good placement but overall placement is very poor in term of the tech placement it is not good. give too much re-appears and some teacher was give there full efforts but mostly teachers have a lack of knowledge and also there behaviour is not good they overall instead of the some teachers mostly was not good,Career360 ,limited company hire students form much opportunity get good placement departments good placement overall placement poor term tech placement good give much reappears teacher give full efforts mostly teachers lack knowledge also behaviour good overall instead teachers mostly good,Genuine,0.8269,Positive
"JC Bose University of Science and Technology, YMCA, Faridabad",1.0,"Placement opportunities are weak. Very few companies visit the campus and the salary packages offered are usually low. The placement support provided by the college is also not very effective.The placements are not upto the mark and not even rarely anyone gets a job. The academic experience is disappointing. The teaching style is mostly theoretical and not very engaging. The syllabus does not always match current industry needs, so students often have to depend on self-study to learn useful skills.",Career360 ,placement opportunities weak companies visit campus salary packages offered usually low placement support provided college also effectivethe placements upto mark even rarely anyone gets job academic experience disappointing teaching style mostly theoretical engaging syllabus always match current industry needs students often depend selfstudy learn useful skills,Genuine,-0.3078,Negative
"JC Bose University of Science and Technology, YMCA, Faridabad",1.0,"Placements are one of the weakest aspects of the college. Very few reputed companies visit the campus and most offers come with low salary packages. The placement support and training provided by the college is minimal, leaving students to prepare on their own. The academic quality is disappointing. The curriculum feels outdated and does not fully match current industry requirements. Some faculty members are helpful, but overall teaching methods are mostly theoretical with very little practical exposure. Students often have to rely on self-study or external resources to properly understand subjects.",Career360 ,placements one weakest aspects college reputed companies visit campus offers come low salary packages placement support training provided college minimal leaving students prepare academic quality disappointing curriculum feels outdated fully match current industry requirements faculty members helpful overall teaching methods mostly theoretical little practical exposure students often rely selfstudy external resources properly understand subjects,Genuine,-0.2617,Negative
"JC Bose University of Science and Technology, YMCA, Faridabad",1.0,Placement opportunities are very limited. Only a few companies visit the campus and most of them offer low salary packages. Many students struggle to find good job opportunities through campus placements. The academic quality is below expectations. Teaching methods are mostly traditional and not very interactive. The syllabus feels outdated and there is very little focus on practical learning or skill development.,Career360 ,placement opportunities limited companies visit campus offer low salary packages many students struggle find good job opportunities campus placements academic quality expectations teaching methods mostly traditional interactive syllabus feels outdated little focus practical learning skill development,Genuine,0.3626,Positive
